100,Listy do M.5,Komedia rom.,2022,17:45,1,45
101,Bros,Komedia rom.,2022,20:00,2,45
102,Nel i tajemnica Kurokota,Animacja,2021,15:15,1,25
103,Lombard,Dokumentalny,2022,18:15,3,35
104,Black Adam,Akcja,2022,21:20,1,45
105,Halloween.Final,Horror,2022,22:00,3,35
106,Egzorcyzmy siostry Ann,Horror,2022,21:50,2,35
107,Bilet do raju,Komedia rom.,2022,19:10,1,45
108,Minionki: Wejscie Gru,Animacja,2022,10:30,3,25
109,Usmiechnij sie,Horror,2022,20:50,3,35
110,Top Gun:Maverick,Akcja,2022,16:00,2,25
111,Na rauszu,Dramat,2020,20:15,3,20
112,Na zachodzie bez zmian,Dramat,2022,18:00,1,45
113,Bohater,Dramat,2021,16:00,1,45
114,Bejbis,Komedia,2022,14:45,2,35
115,Amsterdam,Komedia,2022,18:30,2,35
116,Dziewczyny,Dramat,2022,16:30,1,45
117,Pasazerowie nocy,Dramat,2022,13:45,3,35
118,Stracone zludzenia,Dramat historyczny,2021,13:30,2,35
119,Silent Twins,Biograficzny,2022,15:15,3,45
120,DC Liga Super-Pets,Animacja,2022,13:40,1,45
